Destination,Description,fb_id,days
Adam's Peak,"Mountain, Religiuos, Climbing, Steep",7lv61rEHYOUiUO4D2GgX,2
Yala National Park,"National Park, Wildlife, leopards, elephants",b3kEpSpo41JvP79gsU3W,3
Abalangoda Beach,"Sandy Beach, Masks, Handlooms, Batics",z7Dd2OYLSB1XHnENED68,4
Arugam Bay,"Beach, Fishing Village, Water Sports, Surfing, Underwater Photography",z7Dd2OYLSB1XHnENED68,4
Batticaloa Beach,"Beach, Picturesque lagoon, Duth Fort",z7Dd2OYLSB1XHnENED68,4
Bundala,"National Park, Wildlife, Sea turttles, Birds",b3kEpSpo41JvP79gsU3W,3
Pinnawala Orphanage,"Elephants, Disabled Elephnats, Elephant Lover",b3kEpSpo41JvP79gsU3W,3
Weligama Beach,"Beach, French Count Home, Stilt fisherman ",XUzjK28RjyHhkJks1o7L,2
Wasgamuwa national Park,"Elephants, Wild Buffaloes, Sloth Bears, Crocodiles",b3kEpSpo41JvP79gsU3W,3
Unawatuna beach,"Galle, Ramayanaya, Beach, Sand, Tropical, Dutch Architecture, Charm",XUzjK28RjyHhkJks1o7L,2
Uda walawa National Park,"Elephants, Spotted Deer, crocodiles, leopards, snakes",b3kEpSpo41JvP79gsU3W,3
Trincomalee Beach,"Natural Harbor, Beach, Nilaweli, Shallow, Pigeonislands, Hot Wells, Dutch Port, Protugese Port, Colonial Era",XUzjK28RjyHhkJks1o7L,3
Sinharaja Forest,"Ranforest, Natural World heritage, humid evergreen forest, bird watching, Research",7lv61rEHYOUiUO4D2GgX,2
Galle,"Old Town, Colonial Ruins, Dutch Fort",6eqrP03wojG3YOXR6qRi,3
Saint Claire,"widest waterfall, ",7lv61rEHYOUiUO4D2GgX,2
Mt lavinia Beach,"Beach, Calm waves, White waves, popular bathing spots, Famous Hotel",z7Dd2OYLSB1XHnENED68,4
Minneriya National Park,"Eco tourism, evergreen forest, elephants, leopards, deer",b3kEpSpo41JvP79gsU3W,3
Maligawila,"Buddha Statue, Religious, Anicient Status, Largest Free Buddha Figure",6eqrP03wojG3YOXR6qRi,3
Horton Plains,"World's end, birds, animals, rainforest, Nuwara Eliya",7lv61rEHYOUiUO4D2GgX,2
Dambulla,"Historical, Buddha Statues, Releigious, Cultural",6eqrP03wojG3YOXR6qRi,3
Dunhinda Falls,"Waterfall, Nature, Badulla",7lv61rEHYOUiUO4D2GgX,2
Diyaluma,"WaterFall, Nature wilderness",7lv61rEHYOUiUO4D2GgX,2
Devons,"Water Falls, Nature",7lv61rEHYOUiUO4D2GgX,2
Bopath Ella,"waterfall, picnic spot, waterfalls",7lv61rEHYOUiUO4D2GgX,2
Bogoda ,"Bridge and the temple, wooden bridge, historica",y5Ib5eIQZjiOJgQfWqZl,3
Anuradhapura,"Ancient, Ruins, Religious, Lakes Ancient Kings, Ancient Kingdom, Irrigation",6eqrP03wojG3YOXR6qRi,3
Polonnaruwa,"Ancient, Ruins, Religious, Lakes Ancient Kings",6eqrP03wojG3YOXR6qRi,3
Kandy,"Buddha, Religious, Ancient, Temple of tooth",6eqrP03wojG3YOXR6qRi,3
Sigiriya,"Lion Rock, Ancient Palace, Rock Climbing, Ruins",y5Ib5eIQZjiOJgQfWqZl,3
Yapahuwa,"Ruins, Ancient Palace, Kings, Ancient Kingdom",y5Ib5eIQZjiOJgQfWqZl,3
